visit_year	sample_date	visit_month	station_name	sample_latitude_dd	sample_longitude_dd	water_depth_m	sample_id	sample_min_depth_m	sample_max_depth_m	scientific_name	species_flag_code	size_class	trophic_type	parameter	value	unit	plankton_group	taxon_kingdom	taxon_phylum	taxon_class	taxon_order	taxon_family	taxon_genus	taxon_hierarchy
2018	2018-12-10	12	B1	58.80317	17.62533	41		0	20	Skeletonema			AU	Biovolume concentration	0.000292457	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-11-13	11	B1	58.80317	17.62533	41		0	20	Skeletonema			AU	Biovolume concentration	0.000227467	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-10-22	10	B1	58.80317	17.62533			0	20	Skeletonema			AU	Biovolume concentration	0.013707344	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-10-09	10	B1	58.80317	17.62533	42.3		0	20	Skeletonema			AU	Biovolume concentration	0.09164357000000001	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-09-27	09	B1	58.80317	17.62533	41.7		0	20	Skeletonema			AU	Biovolume concentration	0.005504613	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-09-11	09	B1	58.80317	17.62533	41.5		0	20	Skeletonema				Biovolume concentration	0.0	mm3/l								
2018	2018-08-29	08	B1	58.80317	17.62533	43		0	20	Skeletonema			AU	Biovolume concentration	0.015015780000000001	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-08-14	08	B1	58.80317	17.62533	42		0	20	Skeletonema			AU	Biovolume concentration	9.74857e-05	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-07-30	07	B1	58.80317	17.62533	41		0	20	Skeletonema				Biovolume concentration	0.0	mm3/l								
2018	2018-07-17	07	B1	58.80317	17.62533	41		0	20	Skeletonema			AU	Biovolume concentration	0.000197409	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-07-04	07	B1	58.80317	17.62533	42.2		0	20	Skeletonema			AU	Biovolume concentration	0.00540233	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-06-19	06	B1	58.80317	17.62533	41		0	20	Skeletonema			AU	Biovolume concentration	0.0059424	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-06-07	06	B1	58.80317	17.62533	41.5		0	20	Skeletonema			AU	Biovolume concentration	0.00250051	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-05-21	05	B1	58.80317	17.62533	42.6		0	20	Skeletonema			AU	Biovolume concentration	0.000259962	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-05-07	05	B1	58.80317	17.62533	41		0	20	Skeletonema			AU	Biovolume concentration	0.000526423	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-04-24	04	B1	58.80317	17.62533	43		0	20	Skeletonema			AU	Biovolume concentration	0.00765067	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-04-17	04	B1	58.80317	17.62533	40		0	20	Skeletonema			AU	Biovolume concentration	0.0631655	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-04-11	04	B1	58.80317	17.62533	41		0	20	Skeletonema			AU	Biovolume concentration	0.2628642	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-04-04	04	B1	58.80317	17.62533	43		0	20	Skeletonema			AU	Biovolume concentration	0.1432943	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-03-27	03	B1	58.80317	17.62533	43		0	20	Skeletonema			AU	Biovolume concentration	0.024636088	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-03-20	03	B1	58.80317	17.62533	42		0	20	Skeletonema			AU	Biovolume concentration	0.010484688	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-03-05	03	B1	58.80317	17.62533	42		0	20	Skeletonema			AU	Biovolume concentration	0.006429916000000001	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-02-14	02	B1	58.80317	17.62533			0	20	Skeletonema			AU	Biovolume concentration	0.002430178	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2018	2018-01-23	01	B1	58.80317	17.62533	40.9		0	20	Skeletonema			AU	Biovolume concentration	0.00363947	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2017	2017-12-12	12	B1	58.80317	17.62533	44		0	20	Skeletonema			AU	Biovolume concentration	0.00503676	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2017	2017-11-14	11	B1	58.80317	17.62533	40.3		0	20	Skeletonema			AU	Biovolume concentration	0.00461432	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2017	2017-10-31	10	B1	58.80317	17.62533	40.7		0	20	Skeletonema			AU	Biovolume concentration	0.00412689	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2017	2017-10-11	10	B1	58.80317	17.62533	40.3		0	20	Skeletonema			AU	Biovolume concentration	0.000394817	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
2017	2017-09-27	09	B1	58.80317	17.62533	39.4		0	20	Skeletonema			AU	Biovolume concentration	0.00348755	mm3/l		Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Skeletonemaceae	Skeletonema	
